운영기관명,상품명,운영기관구분,상품구분,학자금유형구분,대학구분,학년구분,학과구분,성적기준,소득기준,지원금액,특정자격,지역거주여부,신청기간,선발방법,선발인원,자격제한,추천필요여부,제출서류
우리다문화장학재단,학업장학,민간(기업),장학금,기타,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음, - 2021년 기준 중위소득 100% 이하인 가구," - 1인당 4,000,000원(2회 분할지급)"," - 다문화가족 자녀 - 국내 2,3,4년제 대학교 재학생 (정규학기 12학점 이상) ",제한없음, - 2021-05-12 ~ 2021-05-28,기준없음, - 30명," - 휴학생 및 휴학 예정자, 외국인, 북한이탈주민 지원불가 - 특기장학과 중복지원 불가능"," - 소속대학 지도교수 및 학과장, 다문화 및 사회 복지기관장, 지자체 및 주민센터장", - 재학증명서 - 성적증명서(신입생 제외) - 장학생 추천서 - 주민등록등본  - 가족관계증명서 - 다문화 학생임을 입증할 수 있는 서류 1부 - 법정 저소득 증빙서류 - 차상위 본인부담경감대상자 증명서(해당자) - 건강보험자격확인서(해당자) - 2021년 1월~3월 건강보험료 납부확인서(해당자) - 자원봉사활동 실적확인서(해당자) - 수상 실적 자료(해당자) * 자세한 사항은 첨부자료 참고
우리다문화장학재단,특기장학,민간(기업),장학금,특기자,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생,연령제한,제한없음","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음," - 1인당 5,000.000원"," - 특기 및 재능보유 다문화가족 자녀(8세~25세) - 예·체능 및 어학 특기자, 자격·기술보유자, 직업·진로 특기자 등 - 최근 2년 이내에 전국 규모 개최 이상의 대회 입상실적 또는 이에 상응하는 특기 및 재능 관련 실적자료 제출이 가능해야함 (졸업생 및 학교 밖 청소년 신청 가능)",제한없음, - 2021-05-12 ~ 2021-05-28,기준없음, - 20명, - 학업장학과 중복지원 불가," - 소속학교 총장(지도교수 및 학과장 포함), 특기·재능 관련 전문기관장, 지자체 및 주민센터장, 다문화 및 사회복지기관장"," - 재학증명서 또는 졸업증명서 또는 재직증명서 또는 경력증명서 - 장학생 추천서 - 주민등록등본 - 가족관계증명서 - 다문화 학생임을 입증할 수 있는 서류 - 법정 저소득 증빙서류(해당자) - 차상위 본인부담경감대상자 증명서(해당자) - 건강보험자격확인서(해당자) - 2021년 1월~3월 건강보험료 납부확인서(해당자) - 자원봉사활동 실적확인서(해당자) - 수상 실적 자료 또는 경력관련 포트폴리오 [필수] (수상확인서, 상장 사본, 관련기사 스크랩 등)"
지헌장학재단,장학생,민간(기타),장학금,기타,"4년제(5~6년제포함),전문대(2~3년제)","대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상",예체능계열," - 성적이 우수한자 (최근1년 평균성적 B+ 이상, 3.5/4.5, 3.3/4.3, 3.1/4.0 이상)", - 부모 또는 보호자의 년소득액이 6천만원 이하인자," - 학기당 1,000,000원 - 본 장학금은 학자금+디자인재료비로 타 장학금과 이중 수혜가능 * 기 장학생 지원 시 장학금 수혜학기 포함 최근 2학기 평균성적 4.0/4.5 상회 시 졸업까지 최대 4학기 수혜가능하며, 성적요건 미 충족 시 신규 지원자와 동일한 기준으로 재 평가하여 선발"," - 4년제 대학교 또는 2~3년제 전문대학 시각디자인, 판화전공자  (1개교 2명이내, 단 2명 추첨 시 남·녀는 각1 명씩으로 함)",제한없음, - 2021-09-01~2021-09-24, - 1차 서류전형 - 2차 면접전형 (필요시), -44명 내외," - 기업체 학술연수 및 입사 조건부 장학금을 받는 자 - 장학금을 수령한 학기에는 휴학을 할 수 없으며, 휴학의 경우 장학금을 반환해야 함"," - 학과장 추천   (1개교 2명 이내, 단 2명 추천시 남·녀 각 1명)"," - 추천서 (소정양식) - 장학생 선발원서 - 보호자 생활현황 - 추천서 (단, 기존장학생의 경우 미 제출 가능) - 자기소개 및 학업계획서 - 성적증명서 (2019-2학기 포함한 전학년 성적증명서, 복학생은 전학년 성적증명서) - 입상증명서 1점 이내 (시각디자인 공모전에 한하며, 발급처와 연락처 표기) - 주민등록등본  - 부/모 또는 보호자 각각의 소득금액증명원 (2018년도 분) * 소득이 없어도 보호자 각각의 증명서(사실확인서)는 반드시 제출 - 통장사본(본인 또는 보호자) * 우편접수, 방문제출 * 제출처 : 서울시 성동구 자동차시장 1길 6 * 자세한 사항은 첨부자료 참고"
풍육장학회,풍육장학생,민간(기타),장학금,기타,"4년제(5~6년제포함),해외대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 성적이 우수한 자.,제한없음,금액미정, - 풍양조씨 인 자 - 행실이 바른 정규 4년제 대학 신입생 및 재학생 - 해외 유학생,제한없음, - 2021-02-01 ~ 2021-02-22,기준없음, - 00명, -  1세대 1자녀 원칙. - 타처에서 장학금을 받고 있는 학생은 신청 불가능 - 수능성적이 없이 수시전형에 합격한 자는 신청할 수 없음.(진학한 후에 대학성적으로 신청해야함) -  한번 수혜 받은 학생은 재신청 불가 -  전문대/대학원생 제외  * 이 외 자세한 사항은 첨부파일 참고,불필요," - 장학금 수혜원서(본회 소정양식) 1통 * 이 장학금 수혜원서는 풍양조씨종보(제45호)에 수록된 양식 사용할 것 - 성적증명서 (재적학교 발행) * 신입생 : 수능시험성적통지표, 대학합격통지표 각1통 * 재학생 : 소속대학의 성적증명서, 재학증명서 각 1통 - 가족관계증명서 (동, 읍, 면사무소 발행) 1통(해당자에 한함) - 소속학교와 자신에 관한 소개서(해외 유학생의 경우) 1통"
하영호장학재단,장학생,민간(기타),장학금,기타,4년제(5~6년제포함),"대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전학기 성적 12학점 이상에 3.0이상, - 기초수급 대상자 및 차상위권 대상자," - 학기당 1,500,000원(1인기준)", - 수도권 내 4년제 대학교에 재학중인 1학년~3학년 학생 ,제한없음, - 2021-01-08 ~ 2021-01-22 (대학별 추천 마감일까지), - 1차 서류 - 2차 면접( 1차 합격자에 한 함),약간명, - 지방대 해외학생 - 타장학금 수혜자의 경우 등록금 범위를 초과하지 않아야 함, - 담당교수," - 자기소개서 - 장학금 신청 사유서 - 성적증명서 - 교수추천서 - 건강보험 증명서 - 재산증명서 - 주민등록등본 각 1부 * 홈페이지 장학금 자격심사요청서에서 온라인상 접수 또는 우편,메일 접수"
청양사랑인재육성장학회,명문대입학장학금,지자체,장학금,지역연고,특정대학,대학신입생,"공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", * 신입생 - 명문대 입학한 자 - 수능합 7등급 이내인자 ,제한없음," - 신입생: 5,000,000원 ~ 10,000,000원 (생활비)"," - 관내 중학교와 고등학교를 졸업하고 명문대에 입학한 자* 명문대 : 서울대,고려대,연세대,카이스트,포항공대,치의한의대,수능합 7등급 이내인 자(고려대, 연세대는 지방캠퍼스 제외)", - 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자, - 2021-03-02 ~ 2021-03-26, - '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발,약간명," - 1가구에 2명 이상 수혜자로 선정될 경우 1명만 지급 (성적우수 장학금에 한함) - 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단, 신청접수 마감일까지 복학한 자는 예외로 한다) - 다른 장학금과 중복될 경우 제한될 수 있음 - 기타 장학위원회 결정에 따른다",불필요," * 신입생  - 중학교, 고등학교 졸업증명서 - 장학금 지원 신청서 - 개인정보 동의서 - 재학증명서 - 주민등록등본(주소이력포함)  * 부모만 군내 거주하는 경우 가족관계증명서와 부모의 주민등록등본(주소이력 포함)첨부   **자세한 사항은 첨부자료 확인인"
청양사랑인재육성장학회,충남도립대장학금,지자체,장학금,지역연고,특정대학,"대학신입생,연령제한","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 충남도립대학교 입학생,제한없음," - 1,000,000원 (생활비)", - 관내 중학교와 고등학교를 졸업하고 충남도립대학교에 입학한 자 - 2020년도 신입생, - 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자, - 2021-03-02 ~ 2021-03-26, - '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발,약간명," - 1가구에 2명 이상 수혜자로 선정될 경우 1명만 지급 (성적우수 장학금에 한함) - 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단, 신청접수 마감일까지 복학한 자는 예외로 한다) - 다른 장학금과 중복될 경우 제한될 수 있음 - 공고일 현재 만 25세 이상인 자 제외",불필요," - 장학금지원신청서 - 개인정보동의서 - 재학증명서 - 주민등록등본(주소이력포함) - 졸업증명서(중,고등학교) * 부모만 군내 거주하는 경우 가족관계증명서와 부모의 주민등록등본(주소이력 포함) 첨부"
청양사랑인재육성장학회,성적우수장학금(대학교신입생),지자체,장학금,지역연고,4년제(5~6년제포함),대학신입생,"공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 군내 고등학교 1,2,3학년을 재학하고 졸업한자 중, 직전학년 과목별 성적이 등급점수 4등급 이내인 자자",제한없음," - 1,500,000원 (등록금)"," - 군내 고등학교 1,2,3학년을 재학하고 졸업한 자 - 대학교 신입생", - 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자, - 2021-03-02 ~ 2021-03-26, - '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발.,약간명," - 1가구에 2명 이상 수혜자로 선정될 경우 1명만 지급 (성적우수 장학금에 한함) - 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단, 신청접수 마감일까지 복학한 자는 예외로 한다) - 다른 장학금과 중복될 경우 제한될 수 있음 - 기타 장학위원회 결정에 따른다",불필요," - 장학금지원신청서 - 개인정보동의서 - 군내 고등학교 졸업증명서, 재학증명서 - 재학증명서 - 성적증명서(직전학년) - 주민등록등본(주소이력포함) - 장학금 비수혜 확인서 - 서약서 * 부모만 군내 거주하는 경우 가족관계증명서와 부모의 주민등록등본(주소이력 포함)첨부"
청양사랑인재육성장학회,성적우수장학금(군내대학재학생),지자체,장학금,지역연고,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전 학년 평점이 3.5 이상인자.(4.5점 만점기준),제한없음," - 1,500,000원 (등록금)"," - 군내 대학 재학생 (충남도립대학교) - 군내고교 1,2,3학년 모두 재학 후 졸업한자", - 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자, - 2021-03-02 ~ 2021-03-26, - '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발.,약간명," - 1가구에 2명 이상 수혜자로 선정될 경우 1명만 지급 (성적우수 장학금에 한함) - 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단, 신청접수 마감일까지 복학한 자는 예외로 한다) - 다른 장학금과 중복될 경우 제한될 수 있음 - 기타 장학위원회 결정에 따른다",불필요," - 장학금지원신청서 - 개인정보동의서 - 군내 고등학교 졸업증명서, 재학증명서 - 서약서 - 재학증명서 - 성적증명서(직전학년) - 주민등록등본(주소이력포함) - 장학금 비수혜 확인서 * 부모만 군내 거주하는 경우 가족관계증명서와 부모의 주민등록등본(주소이력 포함)첨부"
청양사랑인재육성장학회,성적우수장학금(군외대학재학생),지자체,장학금,지역연고,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전 학년 평점이 3.5 이상인자.(4.5점 만점기준),제한없음," - 1,500,000원 (등록금)"," - 군내 고등학교 1,2,3학년 모두 재학 후 졸업한 자", - 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자, - 2021-03-02 ~ 2021-03-26, - '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발,약간명," - 1가구에 2명 이상 수혜자로 선정될 경우 1명만 지급 (성적우수 장학금에 한함) - 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단, 신청접수 마감일까지 복학한 자는 예외로 한다) - 다른 장학금과 중복될 경우 제한될 수 있음 - 기타 장학위원회 결정에 따른다",불필요," - 장학금지원신청서 - 개인정보동의서 - 군내 고등학교 졸업증명서, 재학증명서 - 서약서 - 재학증명서 - 성적증명서(직전학년) - 주민등록등본(주소이력포함) - 장학금 비수혜 확인서 - 부모만 군내 거주하는 경우 가족관계증명서와 부모의 주민등록등본(주소이력 포함)첨부"
청양사랑인재육성장학회,예체능장학금,지자체,장학금,특기자,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음," - 1,500,000원 (생활비)"," - 군내 초, 중, 고, 대학 재학생 및 군내 초등학교나 중학교 또는 고등학교를 졸업한 군외,중, 고, 대학생중 직전학년 예, 체능부문 성적이 전국규모대회에서 3위 이상 입상한 자와 체육부문은 도 대회 1위 입상한 자", - 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자, - 2021-03-02 ~ 2021-03-26, - '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발,약간명," - 1가구에 2명 이상 수혜자로 선정될 경우 1명만 지급 (성적우수 장학금에 한함) - 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단, 신청접수 마감일까지 복학한 자는 예외로 한다) - 다른 장학금과 중복될 경우 제한될 수 있음 - 기타 장학위원회 결정에 따른다",불필요, - 장학금지원신청서 - 개인정보동의서 - 재학증명서 - 주민등록등본(주소이력포함) - 입상증명서류 * 군외 대학생 추가 제출서류 - 군내 초/중/고 중 졸업증명서 1개
